step,loss_total,L_diff,L_tri,L_region
0,385.1694641113281,1.974643349647522,0.0,766.3896484375
1,383.3106384277344,0.25973671674728394,0.0,766.101806640625
2,384.3641052246094,0.9607821702957153,0.0,766.806640625
3,384.9385986328125,0.8233085870742798,3.562836170196533,766.0928955078125
4,383.1456298828125,0.16181641817092896,0.0,765.9676513671875
5,383.41143798828125,0.4300956726074219,0.0,765.9627075195312
6,384.4600524902344,0.959123432636261,0.0,767.0018310546875
7,383.46893310546875,0.38996124267578125,0.0,766.157958984375
8,384.4933166503906,1.496532678604126,0.0,765.9935913085938
9,384.3905334472656,1.1497000455856323,0.0,766.481689453125
10,383.8785705566406,0.2978682518005371,0.0,767.161376953125
11,384.32196044921875,1.3819081783294678,0.0,765.880126953125
12,384.8617858886719,1.2278125286102295,0.0,767.2679443359375
13,383.79254150390625,0.18745437264442444,0.0,767.2101440429688
14,384.9604797363281,1.7426260709762573,0.0,766.4357299804688
15,385.010498046875,2.2539877891540527,0.0,765.5130004882812
16,384.7765197753906,1.6191998720169067,0.0,766.3146362304688
17,383.9899597167969,0.5848209857940674,0.0,766.810302734375
18,384.5972900390625,1.3032338619232178,1.072744369506836,765.9444580078125
19,383.5830078125,0.3287338614463806,0.0,766.508544921875
20,383.6496887207031,0.6244108080863953,0.0,766.050537109375
21,384.6171569824219,1.0178332328796387,0.0,767.1986694335938
22,384.2842712402344,1.2141445875167847,0.0,766.1402587890625
23,384.93743896484375,1.4067878723144531,0.0,767.061279296875
24,385.5087585449219,2.0385260581970215,1.3104162216186523,766.1542358398438
25,384.2208251953125,0.916492760181427,0.0,766.608642578125
26,384.1796875,1.1465383768081665,0.0,766.0662841796875
27,384.67230224609375,1.8303935527801514,0.0,765.683837890625
28,383.9131774902344,0.918660581111908,0.0,765.989013671875
29,384.2423400878906,1.067323088645935,0.0,766.3500366210938
30,384.91717529296875,1.872931718826294,0.0,766.0885009765625
31,384.42669677734375,1.1585676670074463,0.0,766.5362548828125
32,384.67474365234375,1.4868487119674683,0.0,766.3757934570312
33,384.2163391113281,1.3760573863983154,0.0,765.6805419921875
34,384.0790100097656,0.803041934967041,0.6175312995910645,766.181396484375
35,384.6160888671875,1.296574354171753,0.0,766.6390380859375
36,383.83892822265625,1.1363942623138428,0.0,765.4050903320312
